"","season","PlotID","Source","ElapsedTimeSinceUnewRunoffStarted_Minutes","data","proxy","detection level","method","detection frequency","type of mictobes","analysis type","amended field","names of microbes"
"5044","C","109","C","60","69000","69000","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5080","C","205","C","5","184500","184500","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5081","C","205","C","10","158000","158000","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5082","C","205","C","20","136000","136000","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5083","C","205","C","30","118000","118000","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5084","C","205","C","30","78000","78000","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5085","C","205","C","60","95000","95000","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5086","C","205","C","60","47500","47500","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5115","C","412","C","5","27000","27000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5116","C","412","C","10","23000","23000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5117","C","412","C","20","36000","36000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5118","C","412","C","30","67000","67000","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5119","C","412","C","30","45000","45000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5120","C","412","C","60","60000","60000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5121","C","412","C","60","85000","85000","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5136","C","107","C","5","4800","4800","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5137","C","107","C","10","3500","3500","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5138","C","107","C","20","4800","4800","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5139","C","107","C","30","5700","5700","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5140","C","107","C","30","8700","8700","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5141","C","107","C","60","8200","8200","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5142","C","107","C","60","7950","7950","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5150","C","209","C","5","31000","31000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5151","C","209","C","10","26500","26500","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5152","C","209","C","20","36000","36000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5153","C","209","C","30","27000","27000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5154","C","209","C","30","31000","31000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5155","C","209","C","60","25000","25000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5156","C","209","C","60","8850","8850","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5178","C","307","C","5","16300","16300","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5179","C","307","C","10","30000","30000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5180","C","307","C","20","17750","17750","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5181","C","307","C","30","15900","15900","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5182","C","307","C","30","14550","14550","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5183","C","307","C","60","21000","21000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5184","C","307","C","60","15000","15000","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5220","C","503","C","5","49000","49000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5221","C","503","C","10","12000","12000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5222","C","503","C","20","54000","54000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5223","C","503","C","30","49000","49000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5224","C","503","C","30","48000","48000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5225","C","503","C","60","46000","46000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5226","C","503","C","60","24000","24000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5262","C","403","C","5","5800","5800","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5263","C","403","C","10","2800","2800","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5264","C","403","C","20","3900","3900","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5265","C","403","C","30","6750","6750","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5266","C","403","C","30","7250","7250","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5267","C","403","C","60","7200","7200","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5268","C","403","C","60","10300","10300","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5276","C","409","C","5","22400","22400","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5277","C","409","C","10","32000","32000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5278","C","409","C","20","24000","24000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5279","C","409","C","30","23000","23000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5280","C","409","C","30","14700","14700","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5281","C","409","C","60","28000","28000","WR","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"5282","C","409","C","60","17900","17900","WRC","enterococciCulturableMEI_CFUPer100ML","1","indicator","culturable","0","entero"
"1049","A","109","C","30","1295","1295","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"1050","A","109","C","60","2600","2600","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"1051","A","110","C","60","1940","1940","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"1052","A","110","C","60","650","650","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"1055","A","205","C","30","430","430","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"1056","A","205","C","60","520","520","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"1062","A","412","C","60","915","915","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"1064","A","107","C","30","2.9","1.45","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","0","Giardia"
"1065","A","107","C","60","2.5","1.25","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","0","Giardia"
"1072","A","209","C","30","2.3","1.15","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","0","Giardia"
"1073","A","209","C","60","4.9","4.9","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"1077","A","307","C","30","6.3","3.15","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","0","Giardia"
"1078","A","307","C","60","5","5","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"1083","A","503","C","30","4","2","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","0","Giardia"
"1084","A","503","C","60","3.6","1.8","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","0","Giardia"
"1093","A","403","C","30","3.6","1.8","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","0","Giardia"
"1094","A","403","C","60","3.3","1.65","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","0","Giardia"
"1095","A","409","C","30","2.7","1.35","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","0","Giardia"
"1096","A","409","C","60","2.2","1.1","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","0","Giardia"
"2277","D","107","C","30","1.2","1.2","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"2278","D","107","C","60","1.2","1.2","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"2279","D","109","C","30","2800","2800","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"2280","D","109","C","60","2000","2000","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"2289","D","205","C","30","80000","80000","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"2290","D","205","C","60","7200","7200","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"2291","D","209","C","30","8.3","8.3","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"2292","D","209","C","60","11.8","11.8","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"2295","D","307","C","30","9.7","9.7","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"2296","D","307","C","60","4.9","4.9","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"2312","D","412","C","30","69.7","69.7","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"2313","D","412","C","60","547.3","547.3","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"2318","D","503","C","30","5","5","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"2319","D","503","C","60","1.8","1.8","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"3914","B","109","C","30","1270","1270","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","1","Giardia"
"3915","B","109","C","60","950","950","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","1","Giardia"
"3920","B","205","C","30","780","780","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","1","Giardia"
"3921","B","205","C","60","620","620","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","1","Giardia"
"3930","B","412","C","30","520","520","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","1","Giardia"
"3931","B","412","C","60","160","160","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","1","Giardia"
"3932","B","107","C","30","0.4","0.4","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","1","Giardia"
"3933","B","107","C","60","0.4","0.4","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","1","Giardia"
"3940","B","209","C","30","0.4","0.4","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","1","Giardia"
"3941","B","209","C","60","0.4","0.4","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","1","Giardia"
"3944","B","307","C","30","0.04444","0.02222","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","1","Giardia"
"3945","B","307","C","60","0.03636","0.01818","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","1","Giardia"
"3952","B","503","C","30","0.02857","0.014285","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","1","Giardia"
"3953","B","503","C","60","0.02353","0.011765","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","1","Giardia"
"3962","B","403","C","30","0.08","0.04","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","1","Giardia"
"3963","B","403","C","60","0.03077","0.015385","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","1","Giardia"
"3964","B","409","C","30","0.03077","0.015385","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","1","Giardia"
"3965","B","409","C","60","0.03333","0.016665","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","1","Giardia"
"5299","C","403","C","30","15.87301587","7.936507935","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","0","Giardia"
"5300","C","403","C","60","1.42857143","0.714285715","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","0","Giardia"
"5303","C","503","C","30","15.38461538","7.69230769","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","0","Giardia"
"5304","C","503","C","60","4.54545455","2.272727275","BDL","Giardia_CystsPer100ml","0","parasiticpathogens","culturable","0","Giardia"
"5308","C","109","C","30","432.4324324","432.4324324","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"5309","C","109","C","60","144.1441441","144.1441441","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"5314","C","205","C","30","2476.190476","2476.190476","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"5315","C","205","C","60","3142.857143","3142.857143","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"5318","C","307","C","30","5.71428571","5.71428571","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"5319","C","307","C","60","4.28571429","4.28571429","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"5328","C","409","C","30","30","30","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"5329","C","409","C","60","24.28571429","24.28571429","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"5332","C","412","C","30","142.8571429","142.8571429","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"5333","C","412","C","60","1125.827815","1125.827815","WR","Giardia_CystsPer100ml","1","parasiticpathogens","culturable","0","Giardia"
"1103","A","109","C","30","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"1104","A","109","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"1105","A","110","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"1106","A","110","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"1111","A","205","C","30","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"1112","A","205","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"1120","A","412","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"1128","A","107","C","30","0.41","0.205","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"1129","A","107","C","60","0.41","0.205","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"1134","A","209","C","30","0.41","0.205","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"1135","A","209","C","60","0.41","0.205","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"1137","A","307","C","30","0.41","0.205","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"1138","A","307","C","60","0.41","0.205","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"1149","A","503","C","30","0.32","0.16","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"1150","A","503","C","60","0.32","0.16","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"1161","A","403","C","30","0.32","0.16","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"1162","A","403","C","60","0.32","0.16","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"1165","A","409","C","30","0.32","0.16","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"1166","A","409","C","60","0.32","0.16","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"2396","D","107","C","30","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"2397","D","107","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"2400","D","109","C","30","12","12","WR","SalmonellaCulturableWildType_MPNPer100ml","1","bacteriapathogens","culturable","0","Salmonella"
"2401","D","109","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"2416","D","205","C","30","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"2417","D","205","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"2420","D","209","C","30","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"2421","D","209","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"2424","D","307","C","30","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"2425","D","307","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"2440","D","409","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"2444","D","412","C","30","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"2445","D","412","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"2450","D","503","C","30","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"2451","D","503","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"4040","B","109","C","30","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","1","Salmonella"
"4041","B","109","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","1","Salmonella"
"4048","B","205","C","30","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","1","Salmonella"
"4049","B","205","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","1","Salmonella"
"4062","B","412","C","30","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","1","Salmonella"
"4063","B","412","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","1","Salmonella"
"4064","B","107","C","30","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","1","Salmonella"
"4065","B","107","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","1","Salmonella"
"4076","B","209","C","30","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"4077","B","209","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"4080","B","307","C","30","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"4081","B","307","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"4092","B","503","C","30","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"4093","B","503","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"4104","B","403","C","30","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"4105","B","403","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"4108","B","409","C","30","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"4109","B","409","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"5454","C","107","C","30","2300","2300","WR","SalmonellaCulturableWildType_MPNPer100ml","1","bacteriapathogens","culturable","0","Salmonella"
"5455","C","107","C","60","92","92","WR","SalmonellaCulturableWildType_MPNPer100ml","1","bacteriapathogens","culturable","0","Salmonella"
"5458","C","109","C","30","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"5459","C","109","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"5474","C","205","C","30","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"5475","C","205","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"5478","C","209","C","30","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"5479","C","209","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"5482","C","307","C","30","9","9","WR","SalmonellaCulturableWildType_MPNPer100ml","1","bacteriapathogens","culturable","0","Salmonella"
"5483","C","307","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"5490","C","403","C","30","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"5491","C","403","C","0","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"5492","C","403","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"5504","C","409","C","30","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"5505","C","409","C","0","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"5506","C","409","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"5512","C","412","C","30","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"5513","C","412","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"5518","C","503","C","30","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"5519","C","503","C","60","3","1.5","BDL","SalmonellaCulturableWildType_MPNPer100ml","0","bacteriapathogens","culturable","0","Salmonella"
"3","A","203","P","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"12","A","408","P","60","220","110","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"15","A","102","P","30","16","16","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"16","A","102","P","60","290","290","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"20","A","106","P","30","23","23","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"21","A","106","P","60","5.4","5.4","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"24","A","108","P","30","13","13","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"25","A","108","P","60","32","32","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"32","A","112","P","30","7","7","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"33","A","112","P","60","1.9","1.9","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"34","A","201","P","30","16","16","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"35","A","201","P","60","3.2","3.2","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"38","A","203","P","30","21","21","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"41","A","206","P","30","23","23","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"42","A","206","P","60","23","23","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"54","A","404","P","30","3.4","3.4","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"55","A","404","P","60","4.4","4.4","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"58","A","408","P","30","48","48","WR","CampylobacterCulturable_MPNPer100ml","1","bacteriapathogens","culturable","0","Campylobacter"
"1452","D","102","P","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"1453","D","102","P","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"1456","D","106","P","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"1457","D","106","P","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"1460","D","108","P","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"1461","D","108","P","60","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
"1468","D","112","P","30","3","1.5","BDL","CampylobacterCulturable_MPNPer100ml","0","bacteriapathogens","culturable","0","Campylobacter"
