"","proxy","week","PlotID","season","method","Source","detectionfreq1","type of mictobes","analysis type","names of microbes","day"
"266","1196","1","107","C","SalmonellaCulturableWildType_MPNPer100ml","C","2/878",NA,NA,NA,"1"
"267","1.5","1","209","C","SalmonellaCulturableWildType_MPNPer100ml","C","0/880",NA,NA,NA,"2"
"268","5.25","1","307","C","SalmonellaCulturableWildType_MPNPer100ml","C","1/882",NA,NA,NA,"3"
"269","1.5","0","109","C","SalmonellaCulturableWildType_MPNPer100ml","C","0/884",NA,NA,NA,"1"
"270","1.5","0","205","C","SalmonellaCulturableWildType_MPNPer100ml","C","0/886",NA,NA,NA,"2"
"271","1.5","0","412","C","SalmonellaCulturableWildType_MPNPer100ml","C","0/888",NA,NA,NA,"3"
"272","1.5","2","403","C","SalmonellaCulturableWildType_MPNPer100ml","C","0/891",NA,NA,NA,"3"
"273","1.5","2","409","C","SalmonellaCulturableWildType_MPNPer100ml","C","0/894",NA,NA,NA,"3"
"274","1.5","2","503","C","SalmonellaCulturableWildType_MPNPer100ml","C","0/896",NA,NA,NA,"1"
"275","1.5","1","107","D","SalmonellaCulturableWildType_MPNPer100ml","C","0/898",NA,NA,NA,"1"
"276","1.5","1","209","D","SalmonellaCulturableWildType_MPNPer100ml","C","0/900",NA,NA,NA,"2"
"277","1.5","1","307","D","SalmonellaCulturableWildType_MPNPer100ml","C","0/902",NA,NA,NA,"3"
"278","6.75","0","109","D","SalmonellaCulturableWildType_MPNPer100ml","C","1/904",NA,NA,NA,"1"
"279","1.5","0","205","D","SalmonellaCulturableWildType_MPNPer100ml","C","0/906",NA,NA,NA,"2"
"280","1.5","0","412","D","SalmonellaCulturableWildType_MPNPer100ml","C","0/908",NA,NA,NA,"3"
"281","1.5","2","409","D","SalmonellaCulturableWildType_MPNPer100ml","C","0/909",NA,NA,NA,"3"
"282","1.5","2","503","D","SalmonellaCulturableWildType_MPNPer100ml","C","0/911",NA,NA,NA,"1"
"283","12922.475","0","102","A","EColiCulturableColilert_MPNPer100ML","P","4/915",NA,NA,NA,"1"
"284","29050","0","203","A","EColiCulturableColilert_MPNPer100ML","P","6/921",NA,NA,NA,"2"
"285","49233.6111116667","0","206","A","EColiCulturableColilert_MPNPer100ML","P","6/927",NA,NA,NA,"2"
"286","9549.4444445","2","106","A","EColiCulturableColilert_MPNPer100ML","P","6/933",NA,NA,NA,"1"
"287","1414.44444445","2","201","A","EColiCulturableColilert_MPNPer100ML","P","6/939",NA,NA,NA,"2"
"288","8836.11111116667","2","404","A","EColiCulturableColilert_MPNPer100ML","P","6/945",NA,NA,NA,"3"
"289","48747.5","1","108","A","EColiCulturableColilert_MPNPer100ML","P","6/951",NA,NA,NA,"1"
"290","1467.22222221667","1","112","A","EColiCulturableColilert_MPNPer100ML","P","6/957",NA,NA,NA,"2"
"291","11336.1111116667","1","408","A","EColiCulturableColilert_MPNPer100ML","P","6/963",NA,NA,NA,"3"
"292","16.875","0","102","B","EColiCulturableColilert_MPNPer100ML","P","1/969",NA,NA,NA,"1"
"293","361.366666666667","0","203","B","EColiCulturableColilert_MPNPer100ML","P","6/975",NA,NA,NA,"2"
"294","555.116666666667","0","206","B","EColiCulturableColilert_MPNPer100ML","P","6/981",NA,NA,NA,"2"
"295","96540","2","106","B","EColiCulturableColilert_MPNPer100ML","P","6/987",NA,NA,NA,"1"
"296","443.725","2","201","B","EColiCulturableColilert_MPNPer100ML","P","5/993",NA,NA,NA,"2"
"297","88744.444445","2","404","B","EColiCulturableColilert_MPNPer100ML","P","6/999",NA,NA,NA,"3"
"298","8285.83333333333","1","108","B","EColiCulturableColilert_MPNPer100ML","P","6/1005",NA,NA,NA,"1"
"299","12196.9611111667","1","112","B","EColiCulturableColilert_MPNPer100ML","P","6/1011",NA,NA,NA,"2"
"300","79.5833333333333","1","408","B","EColiCulturableColilert_MPNPer100ML","P","6/1017",NA,NA,NA,"3"
"301","33305.0190471429","0","102","C","EColiCulturableColilert_MPNPer100ML","P","7/1024",NA,NA,NA,"1"
"302","205400","0","203","C","EColiCulturableColilert_MPNPer100ML","P","7/1031",NA,NA,NA,"2"
"303","162327.142857143","0","206","C","EColiCulturableColilert_MPNPer100ML","P","7/1038",NA,NA,NA,"2"
"304","144349.285714286","2","106","C","EColiCulturableColilert_MPNPer100ML","P","7/1045",NA,NA,NA,"1"
"305","18424.7619042857","2","201","C","EColiCulturableColilert_MPNPer100ML","P","7/1052",NA,NA,NA,"2"
"306","1475","2","404","C","EColiCulturableColilert_MPNPer100ML","P","8/1060",NA,NA,NA,"3"
"307","28779.2857142857","1","108","C","EColiCulturableColilert_MPNPer100ML","P","7/1067",NA,NA,NA,"1"
"308","4492.38095242857","1","112","C","EColiCulturableColilert_MPNPer100ML","P","7/1074",NA,NA,NA,"2"
"309","21579.047619","1","408","C","EColiCulturableColilert_MPNPer100ML","P","7/1081",NA,NA,NA,"3"
"310","66.1571428571429","0","102","D","EColiCulturableColilert_MPNPer100ML","P","7/1088",NA,NA,NA,"1"
"311","75.4714285714286","0","203","D","EColiCulturableColilert_MPNPer100ML","P","7/1095",NA,NA,NA,"2"
"312","84.5928571428571","0","206","D","EColiCulturableColilert_MPNPer100ML","P","7/1102",NA,NA,NA,"2"
"313","89.4000000057143","2","106","D","EColiCulturableColilert_MPNPer100ML","P","7/1109",NA,NA,NA,"1"
"314","14.8714285728571","2","201","D","EColiCulturableColilert_MPNPer100ML","P","7/1116",NA,NA,NA,"2"
"315","17.6238095242857","2","404","D","EColiCulturableColilert_MPNPer100ML","P","7/1123",NA,NA,NA,"3"
"316","77.6460317471429","1","108","D","EColiCulturableColilert_MPNPer100ML","P","7/1130",NA,NA,NA,"1"
"317","85.0650793614286","1","112","D","EColiCulturableColilert_MPNPer100ML","P","7/1137",NA,NA,NA,"2"
"318","77.15873016","1","408","D","EColiCulturableColilert_MPNPer100ML","P","7/1144",NA,NA,NA,"3"
"319","153","0","102","A","CampylobacterCulturable_MPNPer100ml","P","2/1146",NA,NA,NA,"1"
"320","11.25","0","203","A","CampylobacterCulturable_MPNPer100ml","P","1/1148",NA,NA,NA,"2"
"321","23","0","206","A","CampylobacterCulturable_MPNPer100ml","P","2/1150",NA,NA,NA,"2"
"322","14.2","2","106","A","CampylobacterCulturable_MPNPer100ml","P","2/1152",NA,NA,NA,"1"
"323","9.6","2","201","A","CampylobacterCulturable_MPNPer100ml","P","2/1154",NA,NA,NA,"2"
"324","3.9","2","404","A","CampylobacterCulturable_MPNPer100ml","P","2/1156",NA,NA,NA,"3"
"325","22.5","1","108","A","CampylobacterCulturable_MPNPer100ml","P","2/1158",NA,NA,NA,"1"
"326","4.45","1","112","A","CampylobacterCulturable_MPNPer100ml","P","2/1160",NA,NA,NA,"2"
"327","79","1","408","A","CampylobacterCulturable_MPNPer100ml","P","1/1162",NA,NA,NA,"3"
"328","1.5","0","102","B","CampylobacterCulturable_MPNPer100ml","P","0/1164",NA,NA,NA,"1"
"329","1.5","0","203","B","CampylobacterCulturable_MPNPer100ml","P","0/1166",NA,NA,NA,"2"
"330","2.55","0","206","B","CampylobacterCulturable_MPNPer100ml","P","1/1168",NA,NA,NA,"2"
"331","1.5","2","106","B","CampylobacterCulturable_MPNPer100ml","P","0/1170",NA,NA,NA,"1"
"332","1.5","2","201","B","CampylobacterCulturable_MPNPer100ml","P","0/1172",NA,NA,NA,"2"
"333","1.5","2","404","B","CampylobacterCulturable_MPNPer100ml","P","0/1174",NA,NA,NA,"3"
"334","1.5","1","108","B","CampylobacterCulturable_MPNPer100ml","P","0/1176",NA,NA,NA,"1"
"335","1.5","1","112","B","CampylobacterCulturable_MPNPer100ml","P","0/1178",NA,NA,NA,"2"
"336","1.5","1","408","B","CampylobacterCulturable_MPNPer100ml","P","0/1180",NA,NA,NA,"3"
"337","1.5","0","102","C","CampylobacterCulturable_MPNPer100ml","P","0/1182",NA,NA,NA,"1"
"338","1.5","0","203","C","CampylobacterCulturable_MPNPer100ml","P","0/1184",NA,NA,NA,"2"
"339","1.5","0","206","C","CampylobacterCulturable_MPNPer100ml","P","0/1186",NA,NA,NA,"2"
"340","1.5","2","106","C","CampylobacterCulturable_MPNPer100ml","P","0/1187",NA,NA,NA,"1"
"341","1.5","2","201","C","CampylobacterCulturable_MPNPer100ml","P","0/1189",NA,NA,NA,"2"
"342","1.5","2","404","C","CampylobacterCulturable_MPNPer100ml","P","0/1191",NA,NA,NA,"3"
"343","1.5","1","108","C","CampylobacterCulturable_MPNPer100ml","P","0/1193",NA,NA,NA,"1"
"344","1.5","1","112","C","CampylobacterCulturable_MPNPer100ml","P","0/1195",NA,NA,NA,"2"
"345","1.5","1","408","C","CampylobacterCulturable_MPNPer100ml","P","0/1197",NA,NA,NA,"3"
"346","1.5","0","102","D","CampylobacterCulturable_MPNPer100ml","P","0/1199",NA,NA,NA,"1"
"347","1.5","0","203","D","CampylobacterCulturable_MPNPer100ml","P","0/1201",NA,NA,NA,"2"
"348","1.5","0","206","D","CampylobacterCulturable_MPNPer100ml","P","0/1203",NA,NA,NA,"2"
"349","1.5","2","106","D","CampylobacterCulturable_MPNPer100ml","P","0/1205",NA,NA,NA,"1"
"350","1.5","2","201","D","CampylobacterCulturable_MPNPer100ml","P","0/1207",NA,NA,NA,"2"
"351","1.5","2","404","D","CampylobacterCulturable_MPNPer100ml","P","0/1208",NA,NA,NA,"3"
"352","1.5","1","108","D","CampylobacterCulturable_MPNPer100ml","P","0/1210",NA,NA,NA,"1"
"353","1.5","1","112","D","CampylobacterCulturable_MPNPer100ml","P","0/1212",NA,NA,NA,"2"
"354","1.5","1","408","D","CampylobacterCulturable_MPNPer100ml","P","0/1213",NA,NA,NA,"3"
"355","1430000","0","102","A","enterococciCulturableMEI_CFUPer100ML","P","5/1218",NA,NA,NA,"1"
"356","352750","0","203","A","enterococciCulturableMEI_CFUPer100ML","P","6/1224",NA,NA,NA,"2"
"357","294000","0","206","A","enterococciCulturableMEI_CFUPer100ML","P","6/1230",NA,NA,NA,"2"
"358","4862500","2","106","A","enterococciCulturableMEI_CFUPer100ML","P","6/1236",NA,NA,NA,"1"
"359","7396666.66666667","2","201","A","enterococciCulturableMEI_CFUPer100ML","P","6/1242",NA,NA,NA,"2"
"360","1057111.11111667","2","404","A","enterococciCulturableMEI_CFUPer100ML","P","6/1248",NA,NA,NA,"3"
"361","204305.55555","1","108","A","enterococciCulturableMEI_CFUPer100ML","P","6/1254",NA,NA,NA,"1"
"362","191500","1","112","A","enterococciCulturableMEI_CFUPer100ML","P","6/1260",NA,NA,NA,"2"
"363","780833.333333333","1","408","A","enterococciCulturableMEI_CFUPer100ML","P","6/1266",NA,NA,NA,"3"
"364","46466.6666666667","0","102","B","enterococciCulturableMEI_CFUPer100ML","P","6/1272",NA,NA,NA,"1"
"365","16600","0","203","B","enterococciCulturableMEI_CFUPer100ML","P","6/1278",NA,NA,NA,"2"
"366","22950","0","206","B","enterococciCulturableMEI_CFUPer100ML","P","6/1284",NA,NA,NA,"2"
"367","26325","2","106","B","enterococciCulturableMEI_CFUPer100ML","P","6/1290",NA,NA,NA,"1"
"368","17516.6666666667","2","201","B","enterococciCulturableMEI_CFUPer100ML","P","6/1296",NA,NA,NA,"2"
"369","915000","2","404","B","enterococciCulturableMEI_CFUPer100ML","P","6/1302",NA,NA,NA,"3"
"370","24141.6666666667","1","108","B","enterococciCulturableMEI_CFUPer100ML","P","6/1308",NA,NA,NA,"1"
"371","14216.6666666667","1","112","B","enterococciCulturableMEI_CFUPer100ML","P","6/1314",NA,NA,NA,"2"
"372","46633.3333333333","1","408","B","enterococciCulturableMEI_CFUPer100ML","P","6/1320",NA,NA,NA,"3"
"373","158000","0","102","C","enterococciCulturableMEI_CFUPer100ML","P","7/1327",NA,NA,NA,"1"
"374","143071.428571429","0","203","C","enterococciCulturableMEI_CFUPer100ML","P","7/1334",NA,NA,NA,"2"
"375","269000","0","206","C","enterococciCulturableMEI_CFUPer100ML","P","7/1341",NA,NA,NA,"2"
"376","384857.142857143","2","106","C","enterococciCulturableMEI_CFUPer100ML","P","7/1348",NA,NA,NA,"1"
"377","197714.285714286","2","201","C","enterococciCulturableMEI_CFUPer100ML","P","7/1355",NA,NA,NA,"2"
"378","21578.5714285714","2","404","C","enterococciCulturableMEI_CFUPer100ML","P","7/1362",NA,NA,NA,"3"
"379","120881","1","108","C","enterococciCulturableMEI_CFUPer100ML","P","7/1369",NA,NA,NA,"1"
"380","34428.5714285714","1","112","C","enterococciCulturableMEI_CFUPer100ML","P","7/1376",NA,NA,NA,"2"
"381","51166.6666671429","1","408","C","enterococciCulturableMEI_CFUPer100ML","P","7/1383",NA,NA,NA,"3"
"382","16973.8095228571","0","102","D","enterococciCulturableMEI_CFUPer100ML","P","7/1390",NA,NA,NA,"1"
"383","54785.7142857143","0","203","D","enterococciCulturableMEI_CFUPer100ML","P","7/1397",NA,NA,NA,"2"
"384","26200","0","206","D","enterococciCulturableMEI_CFUPer100ML","P","7/1404",NA,NA,NA,"2"
"385","1552142.85714286","2","106","D","enterococciCulturableMEI_CFUPer100ML","P","7/1411",NA,NA,NA,"1"
"386","460000","2","201","D","enterococciCulturableMEI_CFUPer100ML","P","7/1418",NA,NA,NA,"2"
"387","640000","2","404","D","enterococciCulturableMEI_CFUPer100ML","P","7/1425",NA,NA,NA,"3"
"388","1725714.28571429","1","108","D","enterococciCulturableMEI_CFUPer100ML","P","7/1432",NA,NA,NA,"1"
"389","37857.1428571429","1","112","D","enterococciCulturableMEI_CFUPer100ML","P","7/1439",NA,NA,NA,"2"
"390","148857.142861429","1","408","D","enterococciCulturableMEI_CFUPer100ML","P","7/1446",NA,NA,NA,"3"
"391","47.0333333333333","0","102","A","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1449",NA,NA,NA,"1"
"392","222.1","0","203","A","ClostridiumCulturable_TSCF_CFUPer100ml","P","2/1452",NA,NA,NA,"2"
"393","13.3333333333333","0","206","A","ClostridiumCulturable_TSCF_CFUPer100ml","P","2/1455",NA,NA,NA,"2"
"394","117.1","2","106","A","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1458",NA,NA,NA,"1"
"395","49.4333333333333","2","201","A","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1461",NA,NA,NA,"2"
"396","836.666666666667","2","404","A","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1464",NA,NA,NA,"3"
"397","1001.33333333333","1","108","A","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1467",NA,NA,NA,"1"
"398","4","1","112","A","ClostridiumCulturable_TSCF_CFUPer100ml","P","2/1470",NA,NA,NA,"2"
"399","17.7666666666667","1","408","A","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1473",NA,NA,NA,"3"
"400","291","0","102","B","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1476",NA,NA,NA,"1"
"401","1349.66666666667","0","203","B","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1479",NA,NA,NA,"2"
"402","1763.33333333333","0","206","B","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1482",NA,NA,NA,"2"
"403","189.666666666667","2","106","B","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1485",NA,NA,NA,"1"
"404","668.666666666667","2","201","B","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1488",NA,NA,NA,"2"
"405","141.666666666667","2","404","B","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1491",NA,NA,NA,"3"
"406","159","1","108","B","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1494",NA,NA,NA,"1"
"407","425.666666666667","1","112","B","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1497",NA,NA,NA,"2"
"408","29.3333333333333","1","408","B","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1500",NA,NA,NA,"3"
"409","35.6666666666667","0","102","C","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1503",NA,NA,NA,"1"
"410","336.333333333333","0","203","C","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1506",NA,NA,NA,"2"
"411","440","0","206","C","ClostridiumCulturable_TSCF_CFUPer100ml","P","2/1508",NA,NA,NA,"2"
"412","21","2","106","C","ClostridiumCulturable_TSCF_CFUPer100ml","P","2/1510",NA,NA,NA,"1"
"413","22.6666666666667","2","201","C","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1513",NA,NA,NA,"2"
"414","13.6333333333333","2","404","C","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1516",NA,NA,NA,"3"
"415","3","1","108","C","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1519",NA,NA,NA,"1"
"416","2.32333333333333","1","112","C","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1522",NA,NA,NA,"2"
"417","20","1","408","C","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1525",NA,NA,NA,"3"
"418","114.446666666667","0","102","D","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1528",NA,NA,NA,"1"
"419","223.556666666667","0","203","D","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1531",NA,NA,NA,"2"
"420","319.165","0","206","D","ClostridiumCulturable_TSCF_CFUPer100ml","P","2/1533",NA,NA,NA,"2"
"421","199.113333333333","2","106","D","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1536",NA,NA,NA,"1"
"422","321.113333333333","2","201","D","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1539",NA,NA,NA,"2"
"423","11.82","2","404","D","ClostridiumCulturable_TSCF_CFUPer100ml","P","2/1541",NA,NA,NA,"3"
"424","149.11","1","108","D","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1544",NA,NA,NA,"1"
"425","115.553333333333","1","112","D","ClostridiumCulturable_TSCF_CFUPer100ml","P","3/1547",NA,NA,NA,"2"
"426","52","1","408","D","ClostridiumCulturable_TSCF_CFUPer100ml","P","2/1549",NA,NA,NA,"3"
"427","1.5","0","102","A","SalmonellaCulturableWildType_MPNPer100ml","P","0/1551",NA,NA,NA,"1"
"428","1.5","0","203","A","SalmonellaCulturableWildType_MPNPer100ml","P","0/1553",NA,NA,NA,"2"
"429","1.5","0","206","A","SalmonellaCulturableWildType_MPNPer100ml","P","0/1555",NA,NA,NA,"2"
"430","0.7","2","106","A","SalmonellaCulturableWildType_MPNPer100ml","P","1/1557",NA,NA,NA,"1"
"431","0.425","2","201","A","SalmonellaCulturableWildType_MPNPer100ml","P","0/1559",NA,NA,NA,"2"
"432","0.855","2","404","A","SalmonellaCulturableWildType_MPNPer100ml","P","1/1561",NA,NA,NA,"3"
"433","4","1","108","A","SalmonellaCulturableWildType_MPNPer100ml","P","2/1563",NA,NA,NA,"1"
"434","0.3","1","112","A","SalmonellaCulturableWildType_MPNPer100ml","P","0/1565",NA,NA,NA,"2"
"435","0.3","1","408","A","SalmonellaCulturableWildType_MPNPer100ml","P","0/1567",NA,NA,NA,"3"
"436","1.5","0","102","B","SalmonellaCulturableWildType_MPNPer100ml","P","0/1569",NA,NA,NA,"1"
"437","1.5","0","203","B","SalmonellaCulturableWildType_MPNPer100ml","P","0/1571",NA,NA,NA,"2"
"438","1.5","0","206","B","SalmonellaCulturableWildType_MPNPer100ml","P","0/1573",NA,NA,NA,"2"
"439","3.75","2","106","B","SalmonellaCulturableWildType_MPNPer100ml","P","1/1575",NA,NA,NA,"1"
"440","2.75","2","201","B","SalmonellaCulturableWildType_MPNPer100ml","P","1/1577",NA,NA,NA,"2"
"441","5.5","2","404","B","SalmonellaCulturableWildType_MPNPer100ml","P","2/1579",NA,NA,NA,"3"
"442","4.25","1","108","B","SalmonellaCulturableWildType_MPNPer100ml","P","1/1581",NA,NA,NA,"1"
"443","12.25","1","112","B","SalmonellaCulturableWildType_MPNPer100ml","P","1/1583",NA,NA,NA,"2"
"444","8","1","408","B","SalmonellaCulturableWildType_MPNPer100ml","P","2/1585",NA,NA,NA,"3"
"445","1.5","0","102","C","SalmonellaCulturableWildType_MPNPer100ml","P","0/1587",NA,NA,NA,"1"
"446","1.5","0","203","C","SalmonellaCulturableWildType_MPNPer100ml","P","0/1589",NA,NA,NA,"2"
"447","1.5","0","206","C","SalmonellaCulturableWildType_MPNPer100ml","P","0/1591",NA,NA,NA,"2"
"448","1.5","2","106","C","SalmonellaCulturableWildType_MPNPer100ml","P","0/1592",NA,NA,NA,"1"
"449","1.5","2","201","C","SalmonellaCulturableWildType_MPNPer100ml","P","0/1594",NA,NA,NA,"2"
"450","1.5","2","404","C","SalmonellaCulturableWildType_MPNPer100ml","P","0/1597",NA,NA,NA,"3"
"451","2.55","1","108","C","SalmonellaCulturableWildType_MPNPer100ml","P","1/1599",NA,NA,NA,"1"
"452","1.5","1","112","C","SalmonellaCulturableWildType_MPNPer100ml","P","0/1601",NA,NA,NA,"2"
"453","1.5","1","408","C","SalmonellaCulturableWildType_MPNPer100ml","P","0/1603",NA,NA,NA,"3"
"454","10000.75","0","102","D","SalmonellaCulturableWildType_MPNPer100ml","P","1/1605",NA,NA,NA,"1"
"455","1.5","0","203","D","SalmonellaCulturableWildType_MPNPer100ml","P","0/1607",NA,NA,NA,"2"
"456","1.5","0","206","D","SalmonellaCulturableWildType_MPNPer100ml","P","0/1609",NA,NA,NA,"2"
"457","1.5","2","106","D","SalmonellaCulturableWildType_MPNPer100ml","P","0/1611",NA,NA,NA,"1"
"458","1.5","2","201","D","SalmonellaCulturableWildType_MPNPer100ml","P","0/1613",NA,NA,NA,"2"
"459","1.5","2","404","D","SalmonellaCulturableWildType_MPNPer100ml","P","0/1614",NA,NA,NA,"3"
"460","1.5","1","108","D","SalmonellaCulturableWildType_MPNPer100ml","P","0/1616",NA,NA,NA,"1"
"461","1.5","1","112","D","SalmonellaCulturableWildType_MPNPer100ml","P","0/1618",NA,NA,NA,"2"
"462","1.5","1","408","D","SalmonellaCulturableWildType_MPNPer100ml","P","0/1619",NA,NA,NA,"3"
"463","1.5","0","101","A","EColi0157Culturable_MPNPer100ml","S","0/1621",NA,NA,NA,"1"
"464","2.75","0","406","A","EColi0157Culturable_MPNPer100ml","S","1/1623",NA,NA,NA,"3"
"465","1.5","0","411","A","EColi0157Culturable_MPNPer100ml","S","0/1624",NA,NA,NA,"3"
"466","0.205","1","111","A","EColi0157Culturable_MPNPer100ml","S","0/1626",NA,NA,NA,"2"
"467","0.205","1","210","A","EColi0157Culturable_MPNPer100ml","S","0/1627",NA,NA,NA,"2"
"468","0.205","1","502","A","EColi0157Culturable_MPNPer100ml","S","0/1629",NA,NA,NA,"1"
"469","0.16","2","202","A","EColi0157Culturable_MPNPer100ml","S","0/1631",NA,NA,NA,"2"
"470","0.16","2","401","A","EColi0157Culturable_MPNPer100ml","S","0/1633",NA,NA,NA,"2"
"471","0.16","2","410","A","EColi0157Culturable_MPNPer100ml","S","0/1635",NA,NA,NA,"3"
"472","3.75","0","101","B","EColi0157Culturable_MPNPer100ml","S","1/1637",NA,NA,NA,"1"
"473","1.5","0","406","B","EColi0157Culturable_MPNPer100ml","S","0/1639",NA,NA,NA,"3"
"474","1.5","0","411","B","EColi0157Culturable_MPNPer100ml","S","0/1641",NA,NA,NA,"3"
"475","1.5","1","111","B","EColi0157Culturable_MPNPer100ml","S","0/1643",NA,NA,NA,"2"
"476","1.5","1","210","B","EColi0157Culturable_MPNPer100ml","S","0/1645",NA,NA,NA,"2"
"477","1.5","1","502","B","EColi0157Culturable_MPNPer100ml","S","0/1647",NA,NA,NA,"1"
"478","1.5","2","202","B","EColi0157Culturable_MPNPer100ml","S","0/1649",NA,NA,NA,"2"
"479","1.5","2","401","B","EColi0157Culturable_MPNPer100ml","S","0/1651",NA,NA,NA,"2"
"480","1.5","2","410","B","EColi0157Culturable_MPNPer100ml","S","0/1653",NA,NA,NA,"3"
"481","5.35","0","101","C","EColi0157Culturable_MPNPer100ml","S","1/1655",NA,NA,NA,"1"
"482","1.5","0","406","C","EColi0157Culturable_MPNPer100ml","S","0/1657",NA,NA,NA,"3"
"483","1.5","0","411","C","EColi0157Culturable_MPNPer100ml","S","0/1659",NA,NA,NA,"3"
"484","1.5","1","111","C","EColi0157Culturable_MPNPer100ml","S","0/1661",NA,NA,NA,"2"
"485","1.5","1","210","C","EColi0157Culturable_MPNPer100ml","S","0/1663",NA,NA,NA,"2"
"486","1.5","1","502","C","EColi0157Culturable_MPNPer100ml","S","0/1665",NA,NA,NA,"1"
"487","1.5","2","202","C","EColi0157Culturable_MPNPer100ml","S","0/1667",NA,NA,NA,"2"
"488","1.5","2","401","C","EColi0157Culturable_MPNPer100ml","S","0/1669",NA,NA,NA,"2"
"489","1.5","2","410","C","EColi0157Culturable_MPNPer100ml","S","0/1671",NA,NA,NA,"3"
"490","75480","0","101","D","EColi0157Culturable_MPNPer100ml","S","2/1673",NA,NA,NA,"1"
"491","155","0","406","D","EColi0157Culturable_MPNPer100ml","S","2/1675",NA,NA,NA,"3"
"492","151.5","0","411","D","EColi0157Culturable_MPNPer100ml","S","2/1677",NA,NA,NA,"3"
"493","28","1","111","D","EColi0157Culturable_MPNPer100ml","S","2/1679",NA,NA,NA,"2"
"494","553","1","210","D","EColi0157Culturable_MPNPer100ml","S","2/1681",NA,NA,NA,"2"
"495","27.5","1","502","D","EColi0157Culturable_MPNPer100ml","S","2/1683",NA,NA,NA,"1"
"496","1.5","2","202","D","EColi0157Culturable_MPNPer100ml","S","0/1685",NA,NA,NA,"2"
"497","2.25","2","401","D","EColi0157Culturable_MPNPer100ml","S","1/1687",NA,NA,NA,"2"
"498","1.5","2","410","D","EColi0157Culturable_MPNPer100ml","S","0/1688",NA,NA,NA,"3"
"499","50.683333325","0","101","A","EColiCulturableColilert_MPNPer100ML","S","4/1692",NA,NA,NA,"1"
"500","301.533333333333","0","406","A","EColiCulturableColilert_MPNPer100ML","S","6/1698",NA,NA,NA,"3"
"501","41.9666666666667","0","411","A","EColiCulturableColilert_MPNPer100ML","S","6/1704",NA,NA,NA,"3"
"502","4.74166666666667","1","111","A","EColiCulturableColilert_MPNPer100ML","S","6/1710",NA,NA,NA,"2"
"503","366.302777783333","1","210","A","EColiCulturableColilert_MPNPer100ML","S","6/1716",NA,NA,NA,"2"
"504","37.0777777783333","1","502","A","EColiCulturableColilert_MPNPer100ML","S","6/1722",NA,NA,NA,"1"
"505","185.711111116667","2","202","A","EColiCulturableColilert_MPNPer100ML","S","6/1728",NA,NA,NA,"2"
"506","185.938888883333","2","401","A","EColiCulturableColilert_MPNPer100ML","S","6/1734",NA,NA,NA,"2"
"507","41.8333333333333","2","410","A","EColiCulturableColilert_MPNPer100ML","S","6/1740",NA,NA,NA,"3"
"508","0.25","0","101","B","EColiCulturableColilert_MPNPer100ML","S","0/1746",NA,NA,NA,"1"
"509","0.25","0","406","B","EColiCulturableColilert_MPNPer100ML","S","0/1752",NA,NA,NA,"3"
"510","142.6","0","411","B","EColiCulturableColilert_MPNPer100ML","S","6/1758",NA,NA,NA,"3"
"511","2.45","1","111","B","EColiCulturableColilert_MPNPer100ML","S","6/1764",NA,NA,NA,"2"
"512","22.5222222216667","1","210","B","EColiCulturableColilert_MPNPer100ML","S","6/1770",NA,NA,NA,"2"
"513","0.25","1","502","B","EColiCulturableColilert_MPNPer100ML","S","0/1776",NA,NA,NA,"1"
"514","0.25","2","202","B","EColiCulturableColilert_MPNPer100ML","S","0/1782",NA,NA,NA,"2"
"515","0.5","2","401","B","EColiCulturableColilert_MPNPer100ML","S","2/1788",NA,NA,NA,"2"
"516","261.233333333333","2","410","B","EColiCulturableColilert_MPNPer100ML","S","6/1794",NA,NA,NA,"3"
"517","1682.14285714286","0","101","C","EColiCulturableColilert_MPNPer100ML","S","7/1801",NA,NA,NA,"1"
