"","plot","result","dl","method"
"1310","A-307-C-5",270000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1311","A-307-C-10",360000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1312","A-307-C-20",210000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1313","A-307-C-30",180500,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1314","A-307-C-60",104500,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1315","A-307-C-T1",141500,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1316","A-308-X-5",66000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1317","A-308-X-10",13000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1318","A-308-X-20",13000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1319","A-308-X-30",16000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1320","A-308-X-60",11000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1321","A-308-X-T1",9000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1322","A-407-X-5",12750,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1323","A-407-X-10",12050,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1324","A-407-X-20",18700,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1325","A-407-X-30",16100,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1326","A-407-X-60",9200,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1327","A-407-X-T1",9800,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1328","A-106-P-5",10200000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1329","A-106-P-10",8400000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1330","A-106-P-20",6800000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1331","A-106-P-30",1995000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1332","A-106-P-60",895000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1333","A-106-P-T1",885000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1334","A-503-C-5",7e+05,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1335","A-503-C-10",5e+05,"WR","enterococciCulturableMEI_CFUPer100ML"
"1336","A-503-C-20",6e+05,"WR","enterococciCulturableMEI_CFUPer100ML"
"1337","A-503-C-30",580000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1338","A-503-C-60",530000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1339","A-503-C-T1",560000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1340","A-504-X-5",152000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1341","A-504-X-10",203000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1342","A-504-X-20",129000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1343","A-504-X-30",266000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1344","A-504-X-60",135000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1345","A-504-X-T1",160000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1346","A-105-X-5",64000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1347","A-105-X-10",48000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1348","A-105-X-20",114000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1349","A-105-X-30",66000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1350","A-105-X-60",63000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1351","A-105-X-T1",62000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1352","A-201-P-5",10600000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1353","A-201-P-10",15100000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1354","A-201-P-20",9700000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1355","A-201-P-30",4200000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1356","A-201-P-60",1180000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1357","A-201-P-T1",3600000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1358","A-402-X-5",61000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1359","A-402-X-10",72000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1360","A-402-X-20",49000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1361","A-402-X-30",15150,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1362","A-402-X-60",16200,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1363","A-402-X-T1",33000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1364","A-401-S-5",94000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1365","A-401-S-10",74000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1366","A-401-S-20",79000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1367","A-401-S-30",65000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1368","A-401-S-60",56000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1369","A-401-S-T1",56000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1370","A-202-S-5",142000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1371","A-202-S-10",64000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1372","A-202-S-20",34000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1373","A-202-S-30",25000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1374","A-202-S-60",10650,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1375","A-202-S-T1",13750,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1376","A-404-P-5",620000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1377","A-404-P-10",1115000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1378","A-404-P-20",1810000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1379","A-404-P-30",290000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1380","A-404-P-60",2e+06,"WR","enterococciCulturableMEI_CFUPer100ML"
"1381","A-404-P-T1",507666.6667,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1382","A-410-S-5",110000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1383","A-410-S-10",46000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1384","A-410-S-20",40000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1385","A-410-S-30",47000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1386","A-410-S-60",57000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1387","A-410-S-T1",NA,"BDL","enterococciCulturableMEI_CFUPer100ML"
"1388","A-403-C-5",370000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1389","A-403-C-10",280000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1390","A-403-C-20",390000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1391","A-403-C-30",250000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1392","A-403-C-60",114000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1393","A-403-C-T1",210000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1394","A-409-C-5",250000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1395","A-409-C-10",140000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1396","A-409-C-20",140000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1397","A-409-C-30",330000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1398","A-409-C-60",190000,"WRC","enterococciCulturableMEI_CFUPer100ML"
"1399","A-409-C-T1",250000,"WR","enterococciCulturableMEI_CFUPer100ML"
"1685","A-101-S-30-T",0.27,"BDL","Giardia_CystsPerLiter"
"1686","A-101-S-T2",0.27,"BDL","Giardia_CystsPerLiter"
"1687","A-102-P-30-T",NA,"ANP","Giardia_CystsPerLiter"
"1688","A-102-P-T2",NA,"ANP","Giardia_CystsPerLiter"
"1689","A-109-C-40-T",129.5,"WR","Giardia_CystsPerLiter"
"1690","A-109-C-T2",260,"WR","Giardia_CystsPerLiter"
"1691","A-110-C-T2-a",194,"WR","Giardia_CystsPerLiter"
"1692","A-110-C-T2-b",65,"WR","Giardia_CystsPerLiter"
"1693","A-203-P-30-T",NA,"ANP","Giardia_CystsPerLiter"
"1694","A-203-P-T2",NA,"ANP","Giardia_CystsPerLiter"
"1695","A-204-X-30-T",0.67,"BDL","Giardia_CystsPerLiter"
"1696","A-204-X-T2",0.67,"BDL","Giardia_CystsPerLiter"
"1697","A-205-C-30-T",43,"WR","Giardia_CystsPerLiter"
"1698","A-205-C-T2-a",52,"WR","Giardia_CystsPerLiter"
"1699","A-206-P-30-T",NA,"ANP","Giardia_CystsPerLiter"
"1700","A-206-P-T2",NA,"ANP","Giardia_CystsPerLiter"
"1701","A-405-X-30-T",0.24,"BDL","Giardia_CystsPerLiter"
"1702","A-405-X-T2",0.25,"BDL","Giardia_CystsPerLiter"
"1703","A-406-S-30-T",0.25,"BDL","Giardia_CystsPerLiter"
"1704","A-406-S-T2-a",0.24,"BDL","Giardia_CystsPerLiter"
"1705","A-411-S-T2",0.21,"BDL","Giardia_CystsPerLiter"
"1706","A-412-C-T2",91.5,"WR","Giardia_CystsPerLiter"
"1707","A-104-X-T2",0.23,"BDL","Giardia_CystsPerLiter"
"1708","A-107-C-30-T",0.29,"BDL","Giardia_CystsPerLiter"
"1709","A-107-C-T2",0.25,"BDL","Giardia_CystsPerLiter"
"1710","A-108-P-30-T",NA,"ANP","Giardia_CystsPerLiter"
"1711","A-108-P-T2",NA,"ANP","Giardia_CystsPerLiter"
"1712","A-501-X-30-T",0.25,"BDL","Giardia_CystsPerLiter"
"1713","A-501-X-T2",0.23,"BDL","Giardia_CystsPerLiter"
"1714","A-502-S-30-T",0.22,"BDL","Giardia_CystsPerLiter"
"1715","A-502-S-T2",0.22,"BDL","Giardia_CystsPerLiter"
"1716","A-111-S-30-T",0.22,"BDL","Giardia_CystsPerLiter"
"1717","A-111-S-T2",0.22,"BDL","Giardia_CystsPerLiter"
"1718","A-112-P-30-T",NA,"ANP","Giardia_CystsPerLiter"
"1719","A-112-P-T2",NA,"ANP","Giardia_CystsPerLiter"
"1720","A-209-C-30-T",0.23,"BDL","Giardia_CystsPerLiter"
"1721","A-209-C-T2",0.49,"WR","Giardia_CystsPerLiter"
"1722","A-210-S-T2",0.23,"BDL","Giardia_CystsPerLiter"
"1723","A-105-X-30-T",0.4,"BDL","Giardia_CystsPerLiter"
"1724","A-105-X-T2",0.33,"BDL","Giardia_CystsPerLiter"
"1725","A-106-P-30-T",NA,"ANP","Giardia_CystsPerLiter"
"1726","A-106-P-T2",NA,"ANP","Giardia_CystsPerLiter"
"1727","A-307-C-30-T",0.63,"BDL","Giardia_CystsPerLiter"
"1728","A-307-C-T2",0.5,"WR","Giardia_CystsPerLiter"
"1729","A-308-X-30-T",0.56,"BDL","Giardia_CystsPerLiter"
"1730","A-308-X-T2",0.22,"BDL","Giardia_CystsPerLiter"
"1731","A-407-X-30-T",0.24,"BDL","Giardia_CystsPerLiter"
"1732","A-407-X-T2",0.24,"BDL","Giardia_CystsPerLiter"
"1733","A-408-P-30-T",NA,"ANP","Giardia_CystsPerLiter"
"1734","A-408-P-T2",NA,"ANP","Giardia_CystsPerLiter"
"1735","A-503-C-30-T",0.4,"BDL","Giardia_CystsPerLiter"
"1736","A-503-C-T2",0.36,"BDL","Giardia_CystsPerLiter"
"1737","A-504-X-30-T",0.4,"BDL","Giardia_CystsPerLiter"
"1738","A-504-X-T2",0.4,"BDL","Giardia_CystsPerLiter"
"1739","A-201-P-30-T",NA,"ANP","Giardia_CystsPerLiter"
"1740","A-201-P-T2",NA,"ANP","Giardia_CystsPerLiter"
"1741","A-202-S-30-T",0.25,"BDL","Giardia_CystsPerLiter"
"1742","A-202-S-T2",0.25,"BDL","Giardia_CystsPerLiter"
"1743","A-401-S-30-T",0.24,"BDL","Giardia_CystsPerLiter"
"1744","A-401-S-T2",0.25,"BDL","Giardia_CystsPerLiter"
"1745","A-402-X-30-T",0.25,"BDL","Giardia_CystsPerLiter"
"1746","A-402-X-T2",0.25,"BDL","Giardia_CystsPerLiter"
"1747","A-403-C-30-T",0.36,"BDL","Giardia_CystsPerLiter"
"1748","A-403-C-T2",0.33,"BDL","Giardia_CystsPerLiter"
"1749","A-404-P-30-T",NA,"ANP","Giardia_CystsPerLiter"
"1750","A-404-P-T2",NA,"ANP","Giardia_CystsPerLiter"
"1751","A-409-C-30-T",0.27,"BDL","Giardia_CystsPerLiter"
"1752","A-409-C-T2",0.22,"BDL","Giardia_CystsPerLiter"
"1753","A-410-S-30-T",0.29,"WR","Giardia_CystsPerLiter"
"1754","A-410-S-T2",0.27,"BDL","Giardia_CystsPerLiter"
"1755","A-101-S-30-T",0.03,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1756","A-101-S-T2",0.03,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1757","A-102-P-30-T",0.03,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1758","A-102-P-T2",0.03,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1759","A-109-C-40-T",0.03,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1760","A-109-C-T2",0.03,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1761","A-110-C-T2-a",0.03,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1762","A-110-C-T2-b",0.03,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1763","A-203-P-30-T",0.03,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1764","A-203-P-T2",0.03,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1765","A-204-X-30-T",0.03,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1766","A-204-X-T2",0.03,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1767","A-205-C-30-T",0.03,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1768","A-205-C-T2-a",0.03,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1769","A-206-P-30-T",0.03,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1770","A-206-P-T2",0.03,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1771","A-405-X-30-T",0.03,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1772","A-405-X-T2",0.03,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1773","A-406-S-30-T",0.03,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1774","A-406-S-T2-a",0.03,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1775","A-411-S-T2",0.03,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1776","A-412-C-T2",0.03,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1777","A-104-X-T2",2.4,"WR","SalmonellaCulturableWildType_MPNPerML"
"1778","A-108-P-30-T",0.062,"WR","SalmonellaCulturableWildType_MPNPerML"
"1779","A-108-P-T2",0.018,"WR","SalmonellaCulturableWildType_MPNPerML"
"1780","A-501-X-30-T",0.0041,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1781","A-501-X-T2",0.0041,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1782","A-502-S-30-T",0.0041,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1783","A-502-S-T2",0.0041,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1784","A-107-C-30-T",0.0041,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1785","A-107-C-T2",0.0041,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1786","A-111-S-30-T",0.0041,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1787","A-111-S-T2",0.0041,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1788","A-112-P-30-T",0.006,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1789","A-112-P-T2",0.006,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1790","A-209-C-30-T",0.0041,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1791","A-209-C-T2",0.0041,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1792","A-210-S-T2",0.0041,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1793","A-307-C-30-T",0.0041,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1794","A-307-C-T2",0.0041,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1795","A-308-X-30-T",0.0041,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1796","A-308-X-T2",0.0041,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1797","A-407-X-30-T",0.0041,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1798","A-407-X-T2",0.0041,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1799","A-408-P-30-T",0.006,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1800","A-408-P-T2",0.006,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1801","A-105-X-30-T",0.0032,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1802","A-105-X-T2",0.0032,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1803","A-106-P-30-T",0.011,"WR","SalmonellaCulturableWildType_MPNPerML"
"1804","A-106-P-T2",0.006,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1805","A-503-C-30-T",0.0032,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1806","A-503-C-T2",0.0032,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1807","A-504-X-30-T",0.0032,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1808","A-504-X-T2",0.0032,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1809","A-201-P-30-T",0.011,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1810","A-201-P-T2",0.006,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1811","A-202-S-30-T",0.0032,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1812","A-202-S-T2",0.0032,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1813","A-401-S-30-T",0.0032,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1814","A-401-S-T2",0.0032,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1815","A-402-X-30-T",0.0032,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1816","A-402-X-T2",0.0032,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1817","A-403-C-30-T",0.0032,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1818","A-403-C-T2",0.0032,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1819","A-404-P-30-T",0.013,"WR","SalmonellaCulturableWildType_MPNPerML"
"1820","A-404-P-T2",0.0082,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1821","A-409-C-30-T",0.0032,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1822","A-409-C-T2",0.0032,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1823","A-410-S-30-T",0.0032,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1824","A-410-S-T2",0.0032,"BDL","SalmonellaCulturableWildType_MPNPerML"
"1825","A-101-S-30-T",7.84,"BQL","SalmonellaQPCR_GUPerML"
"1826","A-101-S-T2",20.92,"WR","SalmonellaQPCR_GUPerML"
"1827","A-102-P-30-T",0.56,"BDL","SalmonellaQPCR_GUPerML"
"1828","A-102-P-T2",0.54,"BDL","SalmonellaQPCR_GUPerML"
"1829","A-109-C-40-T",1.03,"BDL","SalmonellaQPCR_GUPerML"
"1830","A-109-C-T2",2.75,"BDL","SalmonellaQPCR_GUPerML"
"1831","A-110-C-T2-a",0.61,"BDL","SalmonellaQPCR_GUPerML"
"1832","A-110-C-T2-b",1.26,"BDL","SalmonellaQPCR_GUPerML"
"1833","A-203-P-30-T",6.51,"BDL","SalmonellaQPCR_GUPerML"
"1834","A-203-P-T2",0.54,"BDL","SalmonellaQPCR_GUPerML"
"1835","A-204-X-30-T",1.08,"WR","SalmonellaQPCR_GUPerML"
"1836","A-204-X-T2",1.22,"BDL","SalmonellaQPCR_GUPerML"
"1837","A-205-C-30-T",0.37,"BQL","SalmonellaQPCR_GUPerML"
"1838","A-205-C-T2-a",16.41,"WR","SalmonellaQPCR_GUPerML"
"1839","A-206-P-30-T",0.54,"BDL","SalmonellaQPCR_GUPerML"
"1840","A-206-P-T2",0.7,"BDL","SalmonellaQPCR_GUPerML"
"1841","A-405-X-30-T",15.14,"BQL","SalmonellaQPCR_GUPerML"
"1842","A-405-X-T2",0.9,"BDL","SalmonellaQPCR_GUPerML"
"1843","A-406-S-30-T",0.9,"BDL","SalmonellaQPCR_GUPerML"
"1844","A-406-S-T2-a",3.06,"BDL","SalmonellaQPCR_GUPerML"
"1845","A-411-S-T2",37.56,"WR","SalmonellaQPCR_GUPerML"
"1846","A-412-C-T2",0.61,"BDL","SalmonellaQPCR_GUPerML"
"1847","A-104-X-T2",0.8,"BDL","SalmonellaQPCR_GUPerML"
"1848","A-108-P-30-T",0.54,"BDL","SalmonellaQPCR_GUPerML"
"1849","A-108-P-T2",0.54,"BDL","SalmonellaQPCR_GUPerML"
"1850","A-501-X-30-T",1.78,"BDL","SalmonellaQPCR_GUPerML"
"1851","A-501-X-T2",1.46,"BDL","SalmonellaQPCR_GUPerML"
"1852","A-502-S-30-T",0.88,"BDL","SalmonellaQPCR_GUPerML"
"1853","A-502-S-T2",2.12,"BQL","SalmonellaQPCR_GUPerML"
"1854","A-107-C-30-T",2.48,"BDL","SalmonellaQPCR_GUPerML"
"1855","A-107-C-T2",4.67,"BQL","SalmonellaQPCR_GUPerML"
"1856","A-111-S-30-T",0.77,"BDL","SalmonellaQPCR_GUPerML"
"1857","A-111-S-T2",0.92,"BDL","SalmonellaQPCR_GUPerML"
"1858","A-112-P-30-T",2.99,"BQL","SalmonellaQPCR_GUPerML"
"1859","A-112-P-T2",0.94,"BDL","SalmonellaQPCR_GUPerML"
"1860","A-209-C-30-T",0.83,"BDL","SalmonellaQPCR_GUPerML"
"1861","A-209-C-T2",1.22,"BDL","SalmonellaQPCR_GUPerML"
"1862","A-210-S-T2",1.17,"BDL","SalmonellaQPCR_GUPerML"
"1863","A-307-C-30-T",1.17,"BDL","SalmonellaQPCR_GUPerML"
"1864","A-307-C-T2",0.79,"BDL","SalmonellaQPCR_GUPerML"
"1865","A-308-X-30-T",2.59,"BDL","SalmonellaQPCR_GUPerML"
"1866","A-308-X-T2",1.7,"BQL","SalmonellaQPCR_GUPerML"
"1867","A-407-X-30-T",9.98,"BQL","SalmonellaQPCR_GUPerML"
"1868","A-407-X-T2",13.11,"BQL","SalmonellaQPCR_GUPerML"
"1869","A-408-P-30-T",0.54,"BDL","SalmonellaQPCR_GUPerML"
"1870","A-408-P-T2",1.62,"BDL","SalmonellaQPCR_GUPerML"
"1871","A-105-X-30-T",3.96,"BQL","SalmonellaQPCR_GUPerML"
"1872","A-105-X-T2",5.08,"BQL","SalmonellaQPCR_GUPerML"
"1873","A-106-P-30-T",1.06,"BDL","SalmonellaQPCR_GUPerML"
"1874","A-106-P-T2",1.84,"BDL","SalmonellaQPCR_GUPerML"
"1875","A-503-C-30-T",0.68,"BDL","SalmonellaQPCR_GUPerML"
"1876","A-503-C-T2",1.13,"BDL","SalmonellaQPCR_GUPerML"
"1877","A-504-X-30-T",1.73,"BQL","SalmonellaQPCR_GUPerML"
"1878","A-504-X-T2",19.91,"WR","SalmonellaQPCR_GUPerML"
"1879","A-201-P-30-T",2.18,"BDL","SalmonellaQPCR_GUPerML"
"1880","A-201-P-T2",1.85,"BDL","SalmonellaQPCR_GUPerML"
"1881","A-202-S-30-T",2.59,"BDL","SalmonellaQPCR_GUPerML"
"1882","A-202-S-T2",3.31,"BDL","SalmonellaQPCR_GUPerML"
"1883","A-401-S-30-T",2.66,"BDL","SalmonellaQPCR_GUPerML"
"1884","A-401-S-T2",0.95,"BDL","SalmonellaQPCR_GUPerML"
"1885","A-402-X-30-T",2.45,"BDL","SalmonellaQPCR_GUPerML"
"1886","A-402-X-T2",1.91,"BDL","SalmonellaQPCR_GUPerML"
"1887","A-403-C-30-T",2.38,"BDL","SalmonellaQPCR_GUPerML"
"1888","A-403-C-T2",3.13,"BDL","SalmonellaQPCR_GUPerML"
"1889","A-404-P-30-T",0.9,"BDL","SalmonellaQPCR_GUPerML"
"1890","A-404-P-T2",1.22,"BDL","SalmonellaQPCR_GUPerML"
"1891","A-409-C-30-T",1.17,"BDL","SalmonellaQPCR_GUPerML"
"1892","A-409-C-T2",1.44,"BDL","SalmonellaQPCR_GUPerML"
"1893","A-410-S-30-T",2.74,"BDL","SalmonellaQPCR_GUPerML"
"1894","A-410-S-T2",2.56,"BDL","SalmonellaQPCR_GUPerML"
"1895","A-109-C-5",2022.4,"WR","TotalColiformsCulturableColilert_MPNPer100ml"
"1896","A-109-C-10",241960,"TNTC","TotalColiformsCulturableColilert_MPNPer100ml"
"1897","A-109-C-20",64880,"WR","TotalColiformsCulturableColilert_MPNPer100ml"
"1898","A-109-C-30",241960,"TNTC","TotalColiformsCulturableColilert_MPNPer100ml"
"1899","A-109-C-60",241960,"TNTC","TotalColiformsCulturableColilert_MPNPer100ml"
"1900","A-109-C-T1",NA,"ANP","TotalColiformsCulturableColilert_MPNPer100ml"
"1901","A-110-C-5",241960,"TNTC","TotalColiformsCulturableColilert_MPNPer100ml"
"1902","A-110-C-10",241960,"TNTC","TotalColiformsCulturableColilert_MPNPer100ml"
"1903","A-110-C-20",2022.4,"WR","TotalColiformsCulturableColilert_MPNPer100ml"
"1904","A-110-C-30",241960,"TNTC","TotalColiformsCulturableColilert_MPNPer100ml"
"1905","A-110-C-60",241960,"TNTC","TotalColiformsCulturableColilert_MPNPer100ml"
"1906","A-110-C-T1",101120,"WR","TotalColiformsCulturableColilert_MPNPer100ml"
"1907","A-101-S-5",17624.13333,"WR","TotalColiformsCulturableColilert_MPNPer100ml"
"1908","A-101-S-10",92040,"WR","TotalColiformsCulturableColilert_MPNPer100ml"
"1909","A-101-S-20",NA,"ANP","TotalColiformsCulturableColilert_MPNPer100ml"
"1910","A-101-S-30",98040,"WR","TotalColiformsCulturableColilert_MPNPer100ml"
"1911","A-101-S-60",50031.2,"WR","TotalColiformsCulturableColilert_MPNPer100ml"
"1912","A-101-S-T1",NA,"ANP","TotalColiformsCulturableColilert_MPNPer100ml"
"1913","A-102-P-5",241960,"TNTC","TotalColiformsCulturableColilert_MPNPer100ml"
"1914","A-102-P-10",241960,"TNTC","TotalColiformsCulturableColilert_MPNPer100ml"
"1915","A-102-P-20",NA,"ANP","TotalColiformsCulturableColilert_MPNPer100ml"
"1916","A-102-P-30",101120,"WR","TotalColiformsCulturableColilert_MPNPer100ml"
"1917","A-102-P-60",241960,"TNTC","TotalColiformsCulturableColilert_MPNPer100ml"
"1918","A-102-P-T1",NA,"ANP","TotalColiformsCulturableColilert_MPNPer100ml"
"1919","A-203-P-5",78480,"WR","TotalColiformsCulturableColilert_MPNPer100ml"
"1920","A-203-P-10",34410,"WR","TotalColiformsCulturableColilert_MPNPer100ml"
"1921","A-203-P-20",241960,"TNTC","TotalColiformsCulturableColilert_MPNPer100ml"
"1922","A-203-P-30",241960,"TNTC","TotalColiformsCulturableColilert_MPNPer100ml"
"1923","A-203-P-60",241960,"TNTC","TotalColiformsCulturableColilert_MPNPer100ml"
"1924","A-203-P-T1",241960,"TNTC","TotalColiformsCulturableColilert_MPNPer100ml"
"1925","A-204-X-5",241960,"TNTC","TotalColiformsCulturableColilert_MPNPer100ml"
"1926","A-204-X-10",101120,"WR","TotalColiformsCulturableColilert_MPNPer100ml"
"1927","A-204-X-20",101120,"WR","TotalColiformsCulturableColilert_MPNPer100ml"
"1928","A-204-X-30",241960,"TNTC","TotalColiformsCulturableColilert_MPNPer100ml"
"1929","A-204-X-60",101120,"WR","TotalColiformsCulturableColilert_MPNPer100ml"
